country,GDP,population,regime,women_government,women_population,law_group,law_subgroup,value,total,weighted
Afghanistan,2078.479082,40099460.0,0.0,27.01612903,48.68452072,indecent exposure,indecent exposure,10,13725,7.285974499089253
Aland Islands,,,,,,indecent exposure,indecent exposure,0,153,0.0
Albania,13632.18654,2854710.0,1.0,35.71428571,49.10299683,indecent exposure,indecent exposure,0,8406,0.0
Algeria,11323.31222,44177964.0,1.0,8.108108108,49.47940445,indecent exposure,indecent exposure,8,7237,11.054304269725025
American Samoa,,45056.0,,,,indecent exposure,indecent exposure,3,2971,10.097610232245035
Andorra,,79057.0,,46.42857143,,indecent exposure,indecent exposure,2,1983,10.085728693898135
Angola,6478.332182,34503776.0,1.0,29.54545455,50.52413559,indecent exposure,indecent exposure,2,5663,3.5316969803990816
Anguilla,,15779.0,,,,indecent exposure,indecent exposure,0,2806,0.0
Antarctica,,,,,,indecent exposure,indecent exposure,2,3852,5.192107995846314
Antigua and Barbuda,18240.38041,93229.0,,11.11111111,51.73086166,indecent exposure,indecent exposure,0,2564,0.0
Argentina,20769.03238,45276788.0,2.0,44.74708171,51.21414566,indecent exposure,indecent exposure,5,62729,0.7970795007094008
Armenia,13311.02814,2790971.0,2.0,33.64485981,52.96533966,indecent exposure,indecent exposure,2,5124,3.9032006245121
Aruba,31182.83388,106543.0,,,52.56729507,indecent exposure,indecent exposure,0,1667,0.0
Australia,53316.88543,25921094.0,3.0,31.12582781,50.20123672,indecent exposure,indecent exposure,480,1430531,3.3553974013845207
Austria,55685.97029,8922086.0,2.0,40.43715847,50.70515442,indecent exposure,indecent exposure,33,41634,7.926214151895086
Azerbaijan,14478.52445,10312992.0,1.0,18.18181818,50.04855728,indecent exposure,indecent exposure,0,5253,0.0
Bahamas,,407920.0,,,51.40649033,indecent exposure,indecent exposure,0,6916,0.0
Bahrain,43821.12449,1463266.0,0.0,15.0,35.32645798,indecent exposure,indecent exposure,1,3795,2.6350461133069825
Bangladesh,5995.407429,169356240.0,1.0,20.85714286,49.44476318,indecent exposure,indecent exposure,9,19737,4.559963520291838
Barbados,14045.77283,281204.0,3.0,20.0,51.60124207,indecent exposure,indecent exposure,2,4963,4.029820672980052
Belarus,20237.55113,9578172.0,1.0,40.0,53.44250488,indecent exposure,indecent exposure,4,3673,10.890280424720936
Belgium,53070.21482,11611416.0,3.0,42.0,50.4355011,indecent exposure,indecent exposure,47,46594,10.087135682705927
Belize,6165.849669,400037.0,,12.5,50.26394653,indecent exposure,indecent exposure,0,6585,0.0
Benin,3505.138455,12996901.0,1.0,8.43373494,50.06063461,indecent exposure,indecent exposure,7,3497,20.017157563625965
Bermuda,80273.08171,64213.0,,,,indecent exposure,indecent exposure,10,15476,6.461617989144482
Bhutan,11129.30845,777500.0,3.0,17.0212766,46.85321045,indecent exposure,indecent exposure,2,1659,12.055455093429776
"Bolivia, Plurinational State of",,,,,,indecent exposure,indecent exposure,0,43,0.0
"Bonaire, Sint Eustatius and Saba",,,,,,indecent exposure,indecent exposure,0,31,0.0
Bosnia and Herzegovina,15598.43034,3270948.0,2.0,26.19047619,51.0301857,indecent exposure,indecent exposure,3,9370,3.2017075773745995
Botswana,15471.09481,2588424.0,3.0,10.76923077,51.56119537,indecent exposure,indecent exposure,1,4024,2.4850894632206755
Bouvet Island,,,,,,indecent exposure,indecent exposure,0,31,0.0
Brazil,14834.1937,214326224.0,2.0,15.20467836,50.86748505,indecent exposure,indecent exposure,24,40559,5.917305653492444
British Indian Ocean Territory,,,,,,indecent exposure,indecent exposure,0,689,0.0
Brunei Darussalam,65607.35075,,,9.090909091,,indecent exposure,indecent exposure,0,1755,0.0
Bulgaria,24564.43768,6885864.0,2.0,23.75,51.44063187,indecent exposure,indecent exposure,13,18879,6.885957942687642
Burkina Faso,2273.831365,22100690.0,2.0,6.299212598,50.03313446,indecent exposure,indecent exposure,0,2618,0.0
Burundi,771.1012372,12551215.0,1.0,38.21138211,50.38287354,indecent exposure,indecent exposure,9,3590,25.069637883008358
Cambodia,4423.474631,16589031.0,1.0,21.6,51.17866898,indecent exposure,indecent exposure,6,9574,6.266973052015876
Cameroon,3867.203808,27198632.0,1.0,33.88888889,49.98439407,indecent exposure,indecent exposure,10,5921,16.889039013680122
Canada,46572.13743,38155012.0,3.0,30.47337278,50.36802292,indecent exposure,indecent exposure,147,212729,6.910200301792421
Cape Verde,,587936.0,2.0,,49.79801559,indecent exposure,indecent exposure,0,2512,0.0
Cayman Islands,72481.01386,68157.0,,,,indecent exposure,indecent exposure,0,4967,0.0
Central African Republic,989.2187437,5457165.0,1.0,12.85714286,50.43149185,indecent exposure,indecent exposure,2,5737,3.486142583231654
Chad,1591.669953,17179744.0,0.0,32.25806452,50.07767868,indecent exposure,indecent exposure,10,7817,12.79263144428809
Chile,25089.0313,19493184.0,3.0,35.48387097,50.69279099,indecent exposure,indecent exposure,13,34847,3.730593738341895
China,17189.28179,1425893504.0,0.0,24.94117647,48.70873642,indecent exposure,indecent exposure,58,200869,2.8874540123164847
Christmas Island,,,,,,indecent exposure,indecent exposure,3,7726,3.88299249288118
Cocos (Keeling) Islands,,,,,,indecent exposure,indecent exposure,2,3337,5.9934072520227755
Colombia,14868.46982,51516560.0,2.0,18.82352941,50.89789963,indecent exposure,indecent exposure,10,34751,2.8776150326609304
Comoros,3147.856597,821632.0,1.0,16.66666667,49.556633,indecent exposure,indecent exposure,2,1295,15.444015444015443
Congo,,5835814.0,1.0,,50.04291153,indecent exposure,indecent exposure,12,23717,5.059661845933297
"Congo, The Democratic Republic of the",,,,,,indecent exposure,indecent exposure,1,5089,1.9650225977598743
Cook Islands,,17028.0,,,,indecent exposure,indecent exposure,7,19020,3.680336487907466
Costa Rica,22243.80196,5153959.0,3.0,45.61403509,50.03888702,indecent exposure,indecent exposure,5,19989,2.5013757566661665
Côte d'Ivoire,,,,,,indecent exposure,indecent exposure,0,0,
Croatia,28780.31674,4060139.0,2.0,31.12582781,51.78653336,indecent exposure,indecent exposure,8,12353,6.47615963733506
Cuba,,11256373.0,0.0,53.41296928,50.35173798,indecent exposure,indecent exposure,8,24056,3.325573661456601
Curaçao,,,,,,indecent exposure,indecent exposure,0,0,
Cyprus,39593.42578,1244193.0,3.0,14.28571429,50.01379013,indecent exposure,indecent exposure,15,12177,12.318305001231831
Czech Republic,41608.02535,,,25.0,,indecent exposure,indecent exposure,4,11701,3.418511238355696
Denmark,60229.91477,5854246.0,3.0,39.66480447,50.28901672,indecent exposure,indecent exposure,50,38200,13.089005235602095
Djibouti,5532.682123,1105562.0,1.0,26.15384615,47.47045135,indecent exposure,indecent exposure,3,2275,13.186813186813186
Dominica,10818.02494,72435.0,,34.375,,indecent exposure,indecent exposure,7,3547,19.734987313222444
Dominican Republic,17934.19325,11117873.0,2.0,27.89473684,50.05296707,indecent exposure,indecent exposure,1,13670,0.731528895391368
Ecuador,10890.45664,17797736.0,2.0,39.41605839,49.98698044,indecent exposure,indecent exposure,2,22412,0.892379082634303
Egypt,,109262184.0,1.0,,49.47655869,indecent exposure,indecent exposure,10,18595,5.377789728421619
El Salvador,8419.799438,6314165.0,1.0,27.38095238,53.18640137,indecent exposure,indecent exposure,4,14882,2.68781077812122
Equatorial Guinea,18157.51367,1634473.0,1.0,23.0,44.37716675,indecent exposure,indecent exposure,1,1758,5.688282138794084
Eritrea,,3620324.0,0.0,,,indecent exposure,indecent exposure,5,3283,15.229972586049344
Estonia,37645.22136,1328704.0,3.0,25.74257426,52.62438583,indecent exposure,indecent exposure,2,10097,1.9807863721897594
Ethiopia,2422.681026,120283024.0,1.0,42.58823529,49.96951675,indecent exposure,indecent exposure,5,7880,6.345177664974619
Falkland Islands (Malvinas),,,,,,indecent exposure,indecent exposure,0,123,0.0
Faroe Islands,,,,,,indecent exposure,indecent exposure,2,1405,14.234875444839858
Fiji,12158.24331,924615.0,1.0,21.56862745,49.35344696,indecent exposure,indecent exposure,38,68932,5.512679162072767
Finland,50937.16075,5535982.0,3.0,46.0,50.6849823,indecent exposure,indecent exposure,22,25862,8.506689351171604
France,46991.18203,64531448.0,3.0,39.51473137,51.60487747,indecent exposure,indecent exposure,143,201911,7.082328352590993
French Guiana,,297462.0,,,,indecent exposure,indecent exposure,0,337,0.0
French Polynesia,,304038.0,,,49.35600662,indecent exposure,indecent exposure,1,1397,7.158196134574087
French Southern Territories,,,,,,indecent exposure,indecent exposure,0,12,0.0
Gabon,15105.13431,2341185.0,1.0,16.1971831,49.10186768,indecent exposure,indecent exposure,1,2957,3.3818058843422385
Gambia,,2639922.0,1.0,,50.4051857,indecent exposure,indecent exposure,1,4220,2.3696682464454977
Georgia,14731.20059,3757984.0,2.0,19.33333333,52.34034729,indecent exposure,indecent exposure,57,39165,14.553810800459594
Germany,54844.54597,83408552.0,3.0,34.91847826,50.56820297,indecent exposure,indecent exposure,81,99391,8.149631254338924
Ghana,5749.655385,32833036.0,2.0,14.54545455,49.31282043,indecent exposure,indecent exposure,3,8254,3.63460140537921
Gibraltar,,32698.0,,,,indecent exposure,indecent exposure,8,7770,10.296010296010294
Greece,27948.64973,10445368.0,3.0,21.66666667,50.91817474,indecent exposure,indecent exposure,37,31946,11.582044700431979
Greenland,,56266.0,,,,indecent exposure,indecent exposure,9,5768,15.603328710124826
Grenada,15273.54036,124624.0,,46.66666667,49.6387291,indecent exposure,indecent exposure,7,4690,14.925373134328359
Guadeloupe,,396057.0,,,,indecent exposure,indecent exposure,0,710,0.0
Guam,,170546.0,,,49.55653,indecent exposure,indecent exposure,4,7092,5.640157924421884
Guatemala,8852.947743,17608484.0,2.0,19.375,50.72938919,indecent exposure,indecent exposure,7,17897,3.9112700452589824
Guernsey,,63092.0,,,,indecent exposure,indecent exposure,17,7663,22.184523032754793
Guinea,2754.418384,13531909.0,0.0,,51.62312698,indecent exposure,indecent exposure,85,78619,10.811635864104096
Guinea-Bissau,1948.643401,2060730.0,2.0,13.7254902,51.08251953,indecent exposure,indecent exposure,1,2135,4.68384074941452
Guyana,19702.97442,804571.0,2.0,35.71428571,49.71146393,indecent exposure,indecent exposure,1,3948,2.5329280648429586
Haiti,3094.941621,11447575.0,1.0,,50.65618134,indecent exposure,indecent exposure,11,8867,12.405548663584076
Heard Island and McDonald Islands,,,,,,indecent exposure,indecent exposure,0,786,0.0
Holy See (Vatican City State),,,,,,indecent exposure,indecent exposure,0,11,0.0
Honduras,5419.792164,10278346.0,1.0,27.34375,50.03456879,indecent exposure,indecent exposure,4,13395,2.986188876446435
Hong Kong,,7494580.0,0.0,,54.11936188,indecent exposure,indecent exposure,65,907741,0.7160632823679882
Hungary,33274.34766,9709784.0,1.0,13.06532663,52.40039825,indecent exposure,indecent exposure,14,21700,6.451612903225806
Iceland,53616.68471,370338.0,3.0,47.61904762,49.77142715,indecent exposure,indecent exposure,13,11545,11.260285838025117
India,6525.428052,1407563904.0,1.0,14.44444444,48.03632736,indecent exposure,indecent exposure,85,283731,2.995795313166344
Indonesia,12072.43996,273753184.0,2.0,21.04347826,49.65046692,indecent exposure,indecent exposure,18,56377,3.192791386558348
"Iran, Islamic Republic of",,,,,,indecent exposure,indecent exposure,0,532,0.0
Iraq,9954.345263,43533592.0,1.0,28.87537994,49.38709259,indecent exposure,indecent exposure,16,17973,8.902242252267289
Ireland,93350.08753,4986525.0,3.0,22.5,50.35540009,indecent exposure,indecent exposure,169,290217,5.823228825327256
Isle of Man,,84286.0,,,,indecent exposure,indecent exposure,10,12764,7.834534628643058
Israel,39489.28078,8900057.0,3.0,28.33333333,50.22706223,indecent exposure,indecent exposure,23,31853,7.220669952594732
Italy,41987.81596,59240336.0,3.0,35.71428571,51.31188202,indecent exposure,indecent exposure,49,63683,7.694361132484336
Jamaica,9240.821869,2827701.0,2.0,28.57142857,50.36943436,indecent exposure,indecent exposure,14,16721,8.372704981759464
Japan,42100.25769,124612528.0,3.0,9.677419355,51.17427826,indecent exposure,indecent exposure,36,55591,6.475868395963376
Jersey,,109634.0,,,,indecent exposure,indecent exposure,89,75969,11.7153049270097
Jordan,10354.16403,11148288.0,0.0,11.53846154,49.36873245,indecent exposure,indecent exposure,77,70492,10.923225330533961
Kazakhstan,26750.44623,19196468.0,1.0,27.10280374,51.46678925,indecent exposure,indecent exposure,1,4468,2.2381378692927485
Kenya,4587.18632,53005616.0,1.0,21.61383285,50.31080246,indecent exposure,indecent exposure,13,13666,9.512659154105078
Kiribati,2171.867943,128883.0,,6.666666667,50.81961823,indecent exposure,indecent exposure,5,6163,8.112932013629726
"Korea, Democratic People's Republic of",,,,,,indecent exposure,indecent exposure,0,0,
"Korea, Republic of",,,,,,indecent exposure,indecent exposure,0,1457,0.0
Kuwait,47303.12985,4250111.0,1.0,1.538461538,38.77982712,indecent exposure,indecent exposure,4,16034,2.4946987651241113
Kyrgyzstan,,6527742.0,1.0,,50.53379059,indecent exposure,indecent exposure,0,2325,0.0
Lao People's Democratic Republic,,,,,,indecent exposure,indecent exposure,0,0,
Latvia,31424.90221,1873926.0,3.0,29.0,53.91077042,indecent exposure,indecent exposure,1,11655,0.858000858000858
Lebanon,11376.79398,5592626.0,1.0,4.6875,49.66265869,indecent exposure,indecent exposure,10,16015,6.2441461130190445
Lesotho,2569.337741,2281464.0,2.0,23.33333333,50.66173172,indecent exposure,indecent exposure,0,3414,0.0
Liberia,1468.245239,5193422.0,2.0,10.95890411,49.72911453,indecent exposure,indecent exposure,9,13888,6.480414746543779
Libya,17286.36814,6735280.0,0.0,15.95744681,49.51837921,indecent exposure,indecent exposure,6,7268,8.25536598789213
Liechtenstein,,39058.0,,28.0,,indecent exposure,indecent exposure,3,6648,4.512635379061372
Lithuania,38880.54527,2786652.0,2.0,27.65957447,53.71593094,indecent exposure,indecent exposure,4,12924,3.095017022593624
Luxembourg,117846.1365,639330.0,3.0,35.0,49.42505646,indecent exposure,indecent exposure,15,34805,4.3097256141359
Macao,,686616.0,,,51.93595886,indecent exposure,indecent exposure,6,4350,13.793103448275861
"Macedonia, Republic of",,,,,,indecent exposure,indecent exposure,0,43,0.0
Madagascar,1543.952938,28915652.0,1.0,17.8807947,50.11155319,indecent exposure,indecent exposure,6,4016,14.9402390438247
Malawi,1591.475591,19889742.0,2.0,22.91666667,50.68447876,indecent exposure,indecent exposure,0,4010,0.0
Malaysia,27921.41095,33573872.0,1.0,14.86486486,48.61640549,indecent exposure,indecent exposure,17,38695,4.393332471895594
Maldives,13442.38615,521469.0,2.0,4.597701149,36.55849075,indecent exposure,indecent exposure,0,1903,0.0
Mali,2347.796674,21904990.0,0.0,27.27272727,49.90243912,indecent exposure,indecent exposure,30,11544,25.987525987525988
Malta,43243.17265,526751.0,2.0,13.43283582,49.85267258,indecent exposure,indecent exposure,12,16637,7.2128388531586225
Marshall Islands,4147.097245,42074.0,,6.060606061,,indecent exposure,indecent exposure,8,4127,19.384540828689122
Martinique,,368799.0,,,,indecent exposure,indecent exposure,1,1336,7.485029940119761
Mauritania,5389.646488,4614981.0,1.0,20.26143791,49.78168106,indecent exposure,indecent exposure,2,3110,6.430868167202573
Mauritius,20528.83365,1298922.0,2.0,20.0,50.66077423,indecent exposure,indecent exposure,7,12857,5.444504938943766
Mayotte,,316022.0,,,,indecent exposure,indecent exposure,1,472,21.1864406779661
Mexico,18670.8104,126705136.0,2.0,50.0,51.08187485,indecent exposure,indecent exposure,37,60300,6.135986733001658
"Micronesia, Federated States of",,,,,,indecent exposure,indecent exposure,0,301,0.0
"Moldova, Republic of",,,,,,indecent exposure,indecent exposure,0,420,0.0
Monaco,,36713.0,,33.33333333,,indecent exposure,indecent exposure,4,12765,3.133568350959655
Mongolia,12365.93848,3347782.0,2.0,17.10526316,50.73535156,indecent exposure,indecent exposure,0,4456,0.0
Montenegro,19989.65367,627856.0,1.0,24.69135802,50.55217361,indecent exposure,indecent exposure,6,6377,9.408812921436411
Montserrat,,4438.0,,,,indecent exposure,indecent exposure,0,2549,0.0
Morocco,7368.891602,37076588.0,0.0,22.78481013,50.37493896,indecent exposure,indecent exposure,14,12358,11.328693963424502
Mozambique,1297.298716,32077074.0,1.0,42.4,51.40610123,indecent exposure,indecent exposure,3,5783,5.1876188829327345
Myanmar,5123.407709,53798088.0,0.0,15.29411765,51.80979919,indecent exposure,indecent exposure,1,4015,2.4906600249066
Namibia,9358.537168,2530150.0,2.0,44.23076923,51.52602386,indecent exposure,indecent exposure,2,5316,3.762227238525207
Nauru,14337.26541,12533.0,,10.52631579,,indecent exposure,indecent exposure,13,17245,7.5384169324441865
Nepal,3996.66547,30034988.0,2.0,32.72727273,54.18703842,indecent exposure,indecent exposure,8,10757,7.437017755879892
Netherlands,59266.90858,17501696.0,3.0,39.33333333,50.17678452,indecent exposure,indecent exposure,49,65591,7.4705371163726735
New Caledonia,,287809.0,,,49.73641968,indecent exposure,indecent exposure,12,3559,33.717336330429895
New Zealand,44657.77372,5129730.0,3.0,49.16666667,50.84926605,indecent exposure,indecent exposure,269,1481525,1.8156966639104977
Nicaragua,5573.868729,6850546.0,1.0,50.54945055,50.71594238,indecent exposure,indecent exposure,4,17468,2.289901534234028
Niger,1288.153512,25252722.0,2.0,25.90361446,49.72385025,indecent exposure,indecent exposure,3,4368,6.868131868131869
Nigeria,5185.988584,213401328.0,1.0,3.611111111,49.32092285,indecent exposure,indecent exposure,8,17762,4.503997297601622
Niue,,1957.0,,,,indecent exposure,indecent exposure,5,9884,5.058680696074464
Norfolk Island,,,,,,indecent exposure,indecent exposure,16,11200,14.285714285714286
Northern Mariana Islands,,49503.0,,,,indecent exposure,indecent exposure,1,1438,6.954102920723226
Norway,62644.84574,5403021.0,3.0,44.9704142,49.45838928,indecent exposure,indecent exposure,37,29063,12.730963768365275
Oman,31117.75771,4520474.0,0.0,2.325581395,34.0027504,indecent exposure,indecent exposure,12,10461,11.471178663607684
Pakistan,5426.019788,231402112.0,1.0,20.1754386,48.53963089,indecent exposure,indecent exposure,19,35719,5.319297852683446
Palau,16318.67895,18050.0,,6.25,,indecent exposure,indecent exposure,5,3193,15.659254619480112
"Palestinian Territory, Occupied",,,,,,indecent exposure,indecent exposure,0,346,0.0
Panama,26780.3006,4351264.0,2.0,22.53521127,49.94215393,indecent exposure,indecent exposure,4,24552,1.6291951775822744
Papua New Guinea,4285.765475,9949438.0,1.0,0.0,48.94313049,indecent exposure,indecent exposure,37,47317,7.819599721030497
Paraguay,13034.71654,6703802.0,2.0,16.25,49.18549347,indecent exposure,indecent exposure,4,16637,2.4042796177195407
Peru,11908.0607,33715464.0,2.0,40.0,50.32548141,indecent exposure,indecent exposure,15,32531,4.610986443699855
Philippines,8394.242258,113880336.0,1.0,27.96052632,49.78255081,indecent exposure,indecent exposure,28,117745,2.37802029810183
Pitcairn,,,,,,indecent exposure,indecent exposure,7,3733,18.751674256630057
Poland,34286.98508,38307724.0,2.0,28.32244009,51.54682159,indecent exposure,indecent exposure,21,33811,6.210996421283014
Portugal,34177.08571,10290109.0,2.0,40.0,52.6902771,indecent exposure,indecent exposure,21,33436,6.280655580811102
Puerto Rico,34333.74725,3256030.0,,,52.61818314,indecent exposure,indecent exposure,4,10602,3.7728730428221087
Qatar,89961.43323,2688239.0,0.0,4.444444444,24.84936142,indecent exposure,indecent exposure,0,4342,0.0
Réunion,,,,,,indecent exposure,indecent exposure,0,0,
Romania,32202.20866,19328558.0,2.0,18.54103343,51.37713623,indecent exposure,indecent exposure,17,31827,5.341376818424608
Russian Federation,29916.01367,,,16.22222222,,indecent exposure,indecent exposure,2,12371,1.6166841807452914
Rwanda,2213.568598,13461891.0,1.0,61.25,50.83903503,indecent exposure,indecent exposure,10,9975,10.025062656641603
Saint Barthélemy,,,,,,indecent exposure,indecent exposure,0,0,
"Saint Helena, Ascension and Tristan da Cunha",,,,,,indecent exposure,indecent exposure,0,26,0.0
Saint Kitts and Nevis,,47631.0,,,,indecent exposure,indecent exposure,0,828,0.0
Saint Lucia,,179663.0,,,50.75832367,indecent exposure,indecent exposure,1,1895,5.277044854881266
Saint Martin (French part),,31964.0,,,,indecent exposure,indecent exposure,0,2,0.0
Saint Pierre and Miquelon,,5905.0,,,,indecent exposure,indecent exposure,0,303,0.0
Saint Vincent and the Grenadines,,104340.0,,,49.32896042,indecent exposure,indecent exposure,0,1585,0.0
Samoa,6764.559991,218781.0,,7.843137255,48.23698425,indecent exposure,indecent exposure,22,34280,6.417736289381563
San Marino,59571.9068,33772.0,,33.33333333,,indecent exposure,indecent exposure,1,2992,3.3422459893048124
Sao Tome and Principe,4273.49342,223118.0,2.0,23.63636364,49.95688248,indecent exposure,indecent exposure,0,1209,0.0
Saudi Arabia,46778.29837,35950396.0,0.0,19.86754967,42.17445755,indecent exposure,indecent exposure,8,10484,7.630675314765357
Senegal,3503.595017,16876726.0,2.0,43.03030303,51.20151138,indecent exposure,indecent exposure,5,5218,9.582215408202376
Serbia,19093.95531,7296771.0,1.0,39.2,51.01900101,indecent exposure,indecent exposure,8,8729,9.164852789552068
Seychelles,28338.97714,106486.0,3.0,22.85714286,48.70957947,indecent exposure,indecent exposure,1,3422,2.922267679719462
Sierra Leone,1726.964157,8420642.0,2.0,12.32876712,50.09093094,indecent exposure,indecent exposure,4,7661,5.221250489492234
Singapore,99681.29415,5941063.0,1.0,29.80769231,47.6567955,indecent exposure,indecent exposure,34,57411,5.922210029436867
Sint Maarten (Dutch part),,44061.0,,,,indecent exposure,indecent exposure,0,2,0.0
Slovakia,,5447621.0,2.0,,51.30672455,indecent exposure,indecent exposure,4,8263,4.840856831659203
Slovenia,39725.25919,2119408.0,2.0,26.66666667,50.20375824,indecent exposure,indecent exposure,4,9568,4.1806020066889635
Solomon Islands,2618.323702,707855.0,2.0,8.0,49.1522522,indecent exposure,indecent exposure,15,20245,7.409236848604594
Somalia,1245.642283,17065588.0,0.0,24.36363636,50.14171219,indecent exposure,indecent exposure,12,7525,15.9468438538206
South Africa,13359.48433,59392256.0,2.0,46.58227848,50.73907089,indecent exposure,indecent exposure,62,155946,3.9757351903864158
South Georgia and the South Sandwich Islands,,,,,,indecent exposure,indecent exposure,0,554,0.0
Spain,37756.351,47486932.0,3.0,43.42857143,50.85350418,indecent exposure,indecent exposure,37,63795,5.7998275726937845
Sri Lanka,13226.73006,21773438.0,2.0,5.381165919,52.05141068,indecent exposure,indecent exposure,11,60915,1.805794960190429
Sudan,4142.11084,45657204.0,0.0,,50.03954315,indecent exposure,indecent exposure,11,11401,9.648276466976581
Suriname,16733.38268,612989.0,2.0,29.41176471,49.74345016,indecent exposure,indecent exposure,0,2042,0.0
South Sudan,,10748278.0,0.0,32.36363636,49.94506454,indecent exposure,indecent exposure,2,1583,12.634238787113075
Svalbard and Jan Mayen,,,,,,indecent exposure,indecent exposure,0,170,0.0
Swaziland,,,,,,indecent exposure,indecent exposure,1,3711,2.6946914578280787
Sweden,55064.88501,10467095.0,3.0,46.99140401,49.90779495,indecent exposure,indecent exposure,49,38401,12.760084372802792
Switzerland,71745.2994,8691409.0,3.0,42.5,50.38893509,indecent exposure,indecent exposure,34,44466,7.64629154859893
Syrian Arab Republic,,,,11.2,,indecent exposure,indecent exposure,0,2115,0.0
"Taiwan, Province of China",,,,,,indecent exposure,indecent exposure,0,82,0.0
Tajikistan,3854.190435,9750078.0,1.0,23.80952381,49.61293411,indecent exposure,indecent exposure,0,2342,0.0
"Tanzania, United Republic of",,,,,,indecent exposure,indecent exposure,0,137,0.0
Thailand,18197.94241,71601104.0,0.0,15.74642127,51.33800888,indecent exposure,indecent exposure,19,26773,7.096701901169088
Timor-Leste,4140.95507,,,38.46153846,,indecent exposure,indecent exposure,0,1618,0.0
Togo,2223.316956,8644829.0,1.0,18.68131868,50.24115372,indecent exposure,indecent exposure,1,4455,2.244668911335578
Tokelau,,1869.0,,,,indecent exposure,indecent exposure,3,4768,6.291946308724832
Tonga,6693.785641,106034.0,,0.0,49.94749069,indecent exposure,indecent exposure,17,17665,9.623549391452023
Trinidad and Tobago,26125.15329,1525671.0,2.0,26.19047619,50.62869263,indecent exposure,indecent exposure,6,8486,7.070469007777516
Tunisia,10878.82319,12262949.0,,26.26728111,50.41085052,indecent exposure,indecent exposure,4,6823,5.862523816503004
Turkey,,84775408.0,1.0,,50.63245773,indecent exposure,indecent exposure,60,45782,13.105587348739679
Turkmenistan,,6341850.0,1.0,25.0,50.76740265,indecent exposure,indecent exposure,0,1655,0.0
Turks and Caicos Islands,22283.97785,45141.0,,,,indecent exposure,indecent exposure,2,1749,11.435105774728417
Tuvalu,4791.679265,11229.0,,6.25,,indecent exposure,indecent exposure,1,3352,2.983293556085919
Uganda,2294.147984,45853780.0,1.0,33.81294964,50.70814133,indecent exposure,indecent exposure,10,8790,11.376564277588168
Ukraine,13087.30957,43531424.0,2.0,20.80378251,53.66703415,indecent exposure,indecent exposure,6,16179,3.708511032820323
United Arab Emirates,66766.05393,9365149.0,0.0,50.0,30.87894249,indecent exposure,indecent exposure,1,5595,1.7873100983020553
United Kingdom,46526.91187,67281040.0,3.0,34.25925926,50.59008789,indecent exposure,indecent exposure,229,856607,2.673337948440767
United States,63027.67953,336997632.0,3.0,27.64976959,50.51821518,indecent exposure,indecent exposure,371,884942,4.192365149354421
United States Minor Outlying Islands,,,,,,indecent exposure,indecent exposure,0,11,0.0
Uruguay,22728.21533,3426265.0,3.0,24.24242424,51.68486023,indecent exposure,indecent exposure,2,31184,0.6413545407901488
Uzbekistan,7746.430969,34081452.0,1.0,32.65306122,50.11258698,indecent exposure,indecent exposure,1,2968,3.369272237196766
Vanuatu,3036.116767,319146.0,2.0,0.0,49.31141281,indecent exposure,indecent exposure,11,18899,5.8204137785068
"Venezuela, Bolivarian Republic of",,,,,,indecent exposure,indecent exposure,0,156,0.0
Viet Nam,,,,,,indecent exposure,indecent exposure,2,3072,6.510416666666666
"Virgin Islands, British",,,,,,indecent exposure,indecent exposure,0,82,0.0
"Virgin Islands, U.S.",,,,,,indecent exposure,indecent exposure,0,2,0.0
Wallis and Futuna,,11654.0,,,,indecent exposure,indecent exposure,0,437,0.0
Yemen,,32981644.0,0.0,,49.62448502,indecent exposure,indecent exposure,4,4720,8.474576271186441
Zambia,3457.328102,19473132.0,1.0,15.06024096,50.48396683,indecent exposure,indecent exposure,5,6189,8.078849571820973
Zimbabwe,2251.455674,15993525.0,1.0,31.85185185,52.28389359,indecent exposure,indecent exposure,5,7642,6.542789845590159
Afghanistan,2078.479082,40099460.0,0.0,27.01612903,48.68452072,indecent exposure,nudity,23,13725,16.75774134790528
Aland Islands,,,,,,indecent exposure,nudity,0,153,0.0
Albania,13632.18654,2854710.0,1.0,35.71428571,49.10299683,indecent exposure,nudity,7,8406,8.327385201046871
Algeria,11323.31222,44177964.0,1.0,8.108108108,49.47940445,indecent exposure,nudity,9,7237,12.43609230344065
American Samoa,,45056.0,,,,indecent exposure,nudity,4,2971,13.463480309660047
Andorra,,79057.0,,46.42857143,,indecent exposure,nudity,3,1983,15.128593040847202
Angola,6478.332182,34503776.0,1.0,29.54545455,50.52413559,indecent exposure,nudity,4,5663,7.063393960798163
Anguilla,,15779.0,,,,indecent exposure,nudity,1,2806,3.5637918745545263
Antarctica,,,,,,indecent exposure,nudity,12,3852,31.15264797507788
Antigua and Barbuda,18240.38041,93229.0,,11.11111111,51.73086166,indecent exposure,nudity,0,2564,0.0
Argentina,20769.03238,45276788.0,2.0,44.74708171,51.21414566,indecent exposure,nudity,16,62729,2.5506544022700823
Armenia,13311.02814,2790971.0,2.0,33.64485981,52.96533966,indecent exposure,nudity,5,5124,9.758001561280249
Aruba,31182.83388,106543.0,,,52.56729507,indecent exposure,nudity,3,1667,17.99640071985603
Australia,53316.88543,25921094.0,3.0,31.12582781,50.20123672,indecent exposure,nudity,908,1430531,6.347293417619053
